DAQ_time_end,VEventBit3,VEventBit2,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit4,run,VEventBit9,VEventBit8,fill,activeDetectors,lumi_seen,beamEnergy,beamType,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit27,VEventBit24,VEventBit25,VEventBit13,DAQ_time_start,VEventBit30,runDuration,VEventBit28,VEventBit29,partition,LHCBeamMode,VEventBit12,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,VEventBit14,VEventBit19,VEventBit18,LHCperiod
1466492354.0,15517,0,543207,0,239656,59725,0,0,256697,192940,76300,5030,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS CPV FMD T0 VZERO ACORDE EMCAL AD MUONTRK MUONTRG,9063.606788666577,6500.0,p-p,711,0,0,263224,0,0,0,0,101,1466486848.0,0,5506,0,0,PHYSICS_1,STABLE BEAMS,0,1118360,6029,0,430642,212674,97775,0,0,LHC16k
1343541789.0,0,0,860704,0,5031,0,0,0,185700,684,1546,2888,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PMD MUONTRK MUONTRG FMD T0 VZERO ACORDE EMCAL TRD,1085.9782770024062,4000.0,p-p,0,0,58696,0,0,0,0,0,0,1343540131.0,0,1658,226,0,PHYSICS_1,STABLE BEAMS,0,13854,10973,0,0,474,0,0,0,LHC12d
1445896468.0,494284,0,143383,0,338990,42425,0,0,240204,71767,28998,4538,ITSSPD ITSSDD ITSSSD TPC TRD TOF T0 VZERO MUONTRK MUONTRG,19982.61006502243,6500.0,p-p,0,0,0,78307,0,0,0,0,0,1445894451.0,0,2017,0,0,PHYSICS_1,STABLE BEAMS,0,93050,0,0,687493,0,0,0,0,LHC15l
1360031636.0,1958,0,15139,0,135300,0,0,0,196701,182495,43095,3527,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,98.94237730413862,4000.0,p-Pb,0,0,0,0,0,0,0,0,3882,1360030721.0,0,915,87802,0,PHYSICS_1,STABLE BEAMS,0,146503,2344,0,0,14283,16542,0,0,LHC13f
1360032539.0,1232,0,8873,0,54181,0,0,0,196702,73460,18443,3527,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,66.64455409018971,4000.0,p-Pb,0,0,0,0,0,0,0,0,2311,1360031892.0,0,647,65550,0,PHYSICS_1,STABLE BEAMS,0,65002,1803,0,0,9511,11102,0,0,LHC13f
1343543367.0,0,0,787050,0,3211,0,0,0,185701,438,969,2888,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PMD MUONTRK MUONTRG FMD T0 VZERO ACORDE EMCAL TRD,819.2006552636132,4000.0,p-p,0,0,46861,0,0,0,0,0,0,1343542014.0,0,1353,139,0,PHYSICS_1,STABLE BEAMS,0,9106,8458,0,0,310,0,0,0,LHC12d
1360036969.0,6433,0,32604,0,170476,0,0,0,196706,230289,69571,3527,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRG T0 VZERO ZDC ACORDE EMCAL HLT TRD,235.4197046850866,4000.0,p-Pb,0,0,0,0,0,0,0,0,9600,1360034203.0,0,2766,184873,0,PHYSICS_1,STABLE BEAMS,0,251679,5182,0,0,21581,25054,0,0,LHC13f
1351661370.0,0,0,0,0,0,0,0,0,191163,0,0,3244,ITSSPD ITSSDD ITSSSD PHOS MUONTRK MUONTRG T0 EMCAL,33312.78690032746,4000.0,p-p,76049,645995,0,64878,238735,0,169685,84303,0,1351656225.0,0,5145,0,0,PHYSICS_1,STABLE BEAMS,0,0,29552,0,0,64940,130127,0,0,LHC12h
1360042277.0,30053,0,74857,0,238883,0,0,0,196720,321839,133566,3527,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,202.9512928210274,4000.0,p-Pb,0,0,0,0,0,0,0,0,28440,1360039296.0,0,2981,565008,0,PHYSICS_1,STABLE BEAMS,0,501093,14716,0,0,39826,45079,0,0,LHC13f
1360044884.0,33844,0,54398,0,146050,0,0,0,196721,196716,96723,3527,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG T0 VZERO ZDC ACORDE EMCAL HLT TRD,117.18336758534481,4000.0,p-Pb,0,0,0,0,0,0,0,0,23797,1360042844.0,0,2040,461563,0,PHYSICS_1,STABLE BEAMS,0,368479,11718,0,0,25986,29320,0,0,LHC13f
