run, fill, bcs, bcsA, bcsC, bcsE, run_duration, mu, interactionRate, refCounts, lumi_seen, class_lMb, class_lMa, class_l0b, class_l0a, class_l1b, class_l1a, class_l2b, class_l2a, class_lifetime, class_lumi, class_ds, alias_recorded, alias_reconstructed, alias_accepted, alias_l0b_rate, alias_lifetime, alias_lumi_recorded, alias_lumi_reconstructed
260541, 5261, 1940, 280, 280, 2, 4031, 0.00583861, 127371, 2.05133e+08, 6845.77, 0, 0, 0, 0, 0, 0, 0, 0, 2.34281e-07, 0.00160384, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260542, 5261, 1940, 280, 280, 2, 5707, 0.00582103, 126988, 2.8955e+08, 9662.91, 0, 0, 0, 0, 0, 0, 0, 0, 2.38931e-07, 0.00230877, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260564, 5264, 1940, 280, 280, 2, 23268, 0.00568385, 123995, 1.15273e+09, 38468.2, 0, 0, 0, 0, 0, 0, 0, 0, 2.31755e-07, 0.00891521, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260565, 5264, 1940, 280, 280, 2, 261, 0.00542412, 118329, 1.23401e+07, 411.784, 0, 0, 0, 0, 0, 0, 0, 0, 2.46955e-07, 0.000101692, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260586, 5265, 1940, 280, 280, 2, 7492, 0.0056445, 123137, 3.68599e+08, 12300.5, 0, 0, 0, 0, 0, 0, 0, 0, 2.24148e-07, 0.00275714, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260611, 5266, 1940, 280, 280, 2, 3827, 0.00562413, 122692, 1.87606e+08, 6260.57, 0, 0, 0, 0, 0, 0, 0, 0, 2.40709e-07, 0.00150698, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260613, 5266, 1940, 280, 280, 2, 1851, 0.00561875, 122575, 9.06523e+07, 3025.14, 0, 0, 0, 0, 0, 0, 0, 0, 2.27358e-07, 0.000687791, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260614, 5266, 1940, 280, 280, 2, 4216, 0.00563456, 122920, 2.07058e+08, 6909.73, 0, 0, 0, 0, 0, 0, 0, 0, 2.31623e-07, 0.00160045, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260615, 5266, 1940, 280, 280, 2, 3922, 0.00563078, 122837, 1.9249e+08, 6423.57, 0, 0, 0, 0, 0, 0, 0, 0, 2.18685e-07, 0.00140474, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260616, 5266, 1940, 280, 280, 2, 32789, 0.00567396, 123779, 1.6216e+09, 54114.6, 0, 0, 0, 0, 0, 0, 0, 0, 2.25781e-07, 0.012218, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260647, 5267, 1940, 280, 280, 2, 19445, 0.00568275, 123971, 9.63151e+08, 32141.5, 0, 0, 0, 0, 0, 0, 0, 0, 2.28718e-07, 0.00735135, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260649, 5267, 1940, 280, 280, 2, 3854, 0.0173515, 378529, 5.81519e+08, 19451.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.00176188, 34.2709, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260650, 5267, 1940, 280, 280, 2, 3618, 0.0171112, 373285, 5.38374e+08, 18007.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.00179344, 32.2951, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260655, 5267, 1940, 280, 280, 2, 4160, 0.0162936, 355451, 5.89547e+08, 19715.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.00179467, 35.3831, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260657, 5267, 1940, 280, 280, 2, 5304, 0.0160445, 350016, 7.40216e+08, 24753.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.00173061, 42.838, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260667, 5270, 1940, 280, 280, 2, 888, 0.0162147, 353728, 1.25237e+08, 4188.13, 0, 0, 0, 0, 0, 0, 0, 0, 5.58399e-05, 0.233865, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260671, 5270, 1940, 280, 280, 2, 3542, 0.0165131, 360239, 5.08704e+08, 17012.9, 0, 0, 0, 0, 0, 0, 0, 0, 0.00175819, 29.9119, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260672, 5270, 1940, 280, 280, 2, 1465, 0.0150349, 327991, 1.91626e+08, 6406.76, 0, 0, 0, 0, 0, 0, 0, 0, 0.00179522, 11.5015, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260689, 5274, 1940, 280, 280, 2, 3384, 0.0245804, 536230, 7.22284e+08, 24194.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.00168623, 40.7978, 0.00250006, 0, 0, 0, 0, 0, 0, 0
